Using config: {'content_img_name': 'mona_lisa.jpeg', 'style_img_name': 'picasso_weeping_woman.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 1000.0, 'tv_weight': 1.0, 'init_img': 'random', 'optimizer': 'LBFGS', 'content_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\content_images\\mona_lisa.jpeg', 'style_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\style_images\\picasso_weeping_woman.jpg', 'dump_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\output_images\\mona_lisa styled as picasso_weeping_woman\\100000 1000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 120, total loss=1821339776.0000, content_loss=936347363.2812, style loss=828459000.0000, tv loss=56533356.0000
LBFGS | iteration: 121, total loss=1805326592.0000, content_loss=933721875.0000, style loss=815155687.5000, tv loss=56449008.0000
LBFGS | iteration: 122, total loss=1789385728.0000, content_loss=927153417.9688, style loss=805891562.5000, tv loss=56340680.0000
LBFGS | iteration: 123, total loss=1775254528.0000, content_loss=925238769.5312, style loss=793721812.5000, tv loss=56293864.0000
LBFGS | iteration: 124, total loss=1765405696.0000, content_loss=922625097.6562, style loss=786611562.5000, tv loss=56168932.0000
LBFGS | iteration: 125, total loss=1751914112.0000, content_loss=915007421.8750, style loss=780749250.0000, tv loss=56157440.0000
LBFGS | iteration: 126, total loss=1740676096.0000, content_loss=913284863.2812, style loss=771279562.5000, tv loss=56111572.0000
LBFGS | iteration: 127, total loss=1728861184.0000, content_loss=910281835.9375, style loss=762557812.5000, tv loss=56021456.0000
LBFGS | iteration: 128, total loss=1715771904.0000, content_loss=906464648.4375, style loss=753369187.5000, tv loss=55938016.0000
LBFGS | iteration: 129, total loss=1702007040.0000, content_loss=900295312.5000, style loss=745858437.5000, tv loss=55853344.0000
LBFGS | iteration: 130, total loss=1688585984.0000, content_loss=896881640.6250, style loss=735925812.5000, tv loss=55778576.0000
LBFGS | iteration: 131, total loss=1676909440.0000, content_loss=892442773.4375, style loss=728763250.0000, tv loss=55703432.0000
LBFGS | iteration: 132, total loss=1665410944.0000, content_loss=887713378.9062, style loss=722058312.5000, tv loss=55639160.0000
LBFGS | iteration: 133, total loss=1653244800.0000, content_loss=886473339.8438, style loss=711238562.5000, tv loss=55532888.0000
LBFGS | iteration: 134, total loss=1642179584.0000, content_loss=878294531.2500, style loss=708409750.0000, tv loss=55475392.0000
LBFGS | iteration: 135, total loss=1632982528.0000, content_loss=879795312.5000, style loss=697830437.5000, tv loss=55356688.0000
LBFGS | iteration: 136, total loss=1622506624.0000, content_loss=876774414.0625, style loss=690368687.5000, tv loss=55363408.0000
LBFGS | iteration: 137, total loss=1613170944.0000, content_loss=866468066.4062, style loss=691419187.5000, tv loss=55283728.0000
LBFGS | iteration: 138, total loss=1603464704.0000, content_loss=866949414.0625, style loss=681297687.5000, tv loss=55217608.0000
LBFGS | iteration: 139, total loss=1593076480.0000, content_loss=862150195.3125, style loss=675792750.0000, tv loss=55133408.0000
LBFGS | iteration: 140, total loss=1582388992.0000, content_loss=861695312.5000, style loss=665635187.5000, tv loss=55058452.0000
LBFGS | iteration: 141, total loss=1572723712.0000, content_loss=857169335.9375, style loss=660574312.5000, tv loss=54980064.0000
LBFGS | iteration: 142, total loss=1563551488.0000, content_loss=853396972.6562, style loss=655235500.0000, tv loss=54918940.0000
LBFGS | iteration: 143, total loss=1553783680.0000, content_loss=851597460.9375, style loss=647353062.5000, tv loss=54833136.0000
LBFGS | iteration: 144, total loss=1543678464.0000, content_loss=843913867.1875, style loss=645013500.0000, tv loss=54751128.0000
LBFGS | iteration: 145, total loss=1534113280.0000, content_loss=845255664.0625, style loss=634177812.5000, tv loss=54679844.0000
LBFGS | iteration: 146, total loss=1525102208.0000, content_loss=839381445.3125, style loss=631102187.5000, tv loss=54618480.0000
LBFGS | iteration: 147, total loss=1516349440.0000, content_loss=836081152.3438, style loss=625720812.5000, tv loss=54547392.0000
LBFGS | iteration: 148, total loss=1507589120.0000, content_loss=834002539.0625, style loss=619129937.5000, tv loss=54456592.0000
LBFGS | iteration: 149, total loss=1499191296.0000, content_loss=829061230.4688, style loss=615719937.5000, tv loss=54410176.0000
LBFGS | iteration: 150, total loss=1496153600.0000, content_loss=828333984.3750, style loss=613556187.5000, tv loss=54263360.0000
LBFGS | iteration: 151, total loss=1486091648.0000, content_loss=827365625.0000, style loss=604434187.5000, tv loss=54291784.0000
LBFGS | iteration: 152, total loss=1479636736.0000, content_loss=823141113.2812, style loss=602233062.5000, tv loss=54262504.0000
LBFGS | iteration: 153, total loss=1471704320.0000, content_loss=818964306.6406, style loss=598569437.5000, tv loss=54170656.0000
LBFGS | iteration: 154, total loss=1463717120.0000, content_loss=817231445.3125, style loss=592405812.5000, tv loss=54079900.0000
LBFGS | iteration: 155, total loss=1455052544.0000, content_loss=813165722.6562, style loss=587874812.5000, tv loss=54012016.0000
LBFGS | iteration: 156, total loss=1446336000.0000, content_loss=813090527.3438, style loss=579314187.5000, tv loss=53931216.0000
LBFGS | iteration: 157, total loss=1439458048.0000, content_loss=807058691.4062, style loss=578537187.5000, tv loss=53862156.0000
LBFGS | iteration: 158, total loss=1433345280.0000, content_loss=806196679.6875, style loss=573331000.0000, tv loss=53817608.0000
LBFGS | iteration: 159, total loss=1426276224.0000, content_loss=803290917.9688, style loss=569267437.5000, tv loss=53717928.0000
LBFGS | iteration: 160, total loss=1419016064.0000, content_loss=801502880.8594, style loss=563844250.0000, tv loss=53669016.0000
LBFGS | iteration: 161, total loss=1412682752.0000, content_loss=798954980.4688, style loss=560176687.5000, tv loss=53551056.0000
